"Symbol","Description","Category2","GICS Sector","Market cap","Market Cap Weight","Index Weight","Dividend yield","Country","Action"
"AAPL","Apple Inc","Common stocks","Information Technology","$2,438,897,323,520","26.16%","3.35%","0.59%","USA","Analyze"
"MSFT","Microsoft Corp","Common stocks","Information Technology","$1,763,120,217,460","18.91%","5.28%","1.05%","USA","Analyze"
"UNH","Unitedhealth Group Inc","Common stocks","Health Care","$475,520,508,283","5.10%","11.34%","1.21%","USA","Analyze"
"JNJ","Johnson & Johnson","Common stocks","Health Care","$433,656,931,881","4.65%","3.64%","2.63%","USA","Analyze"
"WMT","Walmart Stores Inc","Common stocks","Consumer Staples","$355,429,457,850","3.81%","2.92%","1.69%","USA","Analyze"
"PG","Procter & Gamble","Common stocks","Consumer Staples","$314,838,219,787","3.38%","2.98%","2.68%","USA","Analyze"
"JPM","JP Morgan Chase & Co","Common stocks","Financials","$310,412,787,482","3.33%","2.44%","3.76%","USA","Analyze"
"V","Visa Inc Class A","Common stocks","Information Technology","$290,820,055,796","3.12%","4.07%","0.84%","USA","Analyze"
"CVX","Chevron Corp","Common stocks","Energy","$277,077,993,565","2.97%","3.39%","3.92%","USA","Analyze"
"HD","Home Depot Inc","Common stocks","Consumer Discretionary","$275,065,057,970","2.95%","5.90%","2.71%","USA","Analyze"
"KO","Coca-Cola","Common stocks","Consumer Staples","$243,822,592,830","2.61%","1.30%","3.05%","USA","Analyze"
"MRK","Merck & Co Inc","Common stocks","Health Care","$217,456,741,895","2.33%","1.92%","3.18%","USA","Analyze"
"DIS","Walt Disney","Common stocks","Communication Services","$174,740,087,925","1.87%","2.24%","0.00%","USA","Analyze"
"MCD","Mcdonalds Corp","Common stocks","Consumer Discretionary","$174,144,278,046","1.87%","5.43%","2.31%","USA","Analyze"
"CSCO","Cisco Systems Inc","Common stocks","Information Technology","$166,490,365,647","1.79%","0.90%","3.68%","USA","Analyze"
"VZ","Verizon Communications Inc","Common stocks","Communication Services","$163,326,903,750","1.75%","0.87%","8.05%","USA","Analyze"
"CRM","Salesforce.Com Inc","Common stocks","Information Technology","$148,890,000,000","1.60%","3.29%","0.00%","USA","Analyze"
"NKE","Nike Inc Class B","Common stocks","Consumer Discretionary","$121,677,113,957","1.30%","2.16%","1.26%","USA","Analyze"
"AMGN","Amgen Inc","Common stocks","Health Care","$120,889,022,792","1.30%","4.99%","3.32%","USA","Analyze"
"HON","Honeywell International Inc","Common stocks","Industrials","$114,574,852,352","1.23%","3.80%","2.29%","USA","Analyze"
"INTC","Intel Corporation Corp","Common stocks","Information Technology","$110,410,340,000","1.18%","0.62%","5.29%","USA","Analyze"
"IBM","International Business Machines Co","Common stocks","Information Technology","$109,953,176,174","1.18%","2.75%","5.31%","USA","Analyze"
"AXP","American Express","Common stocks","Financials","$103,082,823,510","1.11%","3.13%","1.38%","USA","Analyze"
"GS","Goldman Sachs Group Inc","Common stocks","Financials","$99,464,290,883","1.07%","6.86%","2.90%","USA","Analyze"
"CAT","Caterpillar Inc","Common stocks","Industrials","$85,753,561,189","0.92%","3.74%","2.76%","USA","Analyze"
"BA","Boeing","Common stocks","Industrials","$75,716,862,159","0.81%","3.04%","0.00%","USA","Analyze"
"MMM","3M","Common stocks","Industrials","$64,029,177,546","0.69%","2.50%","5.21%","USA","Analyze"
"TRV","Travelers Companies Inc","Common stocks","Financials","$35,891,236,118","0.38%","3.44%","2.37%","USA","Analyze"
"DOW","Dow Inc.","Common stocks","Materials","$31,448,553,818","0.34%","0.98%","6.28%","USA","Analyze"
"WBA","Walgreen Boots Alliance Inc","Common stocks","Consumer Staples","$28,027,843,192","0.30%","0.73%","5.80%","USA","Analyze"
